N_diagnostic_tests_0.025,N_diagnostic_tests_0.25,N_diagnostic_tests_0.75,N_diagnostic_tests_0.975,N_diagnostic_tests_mean,N_diagnostic_tests_median,N_diagnostic_tests_std,N_employee_screens_0.025,N_employee_screens_0.25,N_employee_screens_0.75,N_employee_screens_0.975,N_employee_screens_mean,N_employee_screens_median,N_employee_screens_std,N_preventive_tests_0.025,N_preventive_tests_0.25,N_preventive_tests_0.75,N_preventive_tests_0.975,N_preventive_tests_mean,N_preventive_tests_median,N_preventive_tests_std,N_resident_screens_0.025,N_resident_screens_0.25,N_resident_screens_0.75,N_resident_screens_0.975,N_resident_screens_mean,N_resident_screens_median,N_resident_screens_std,R0_0.025,R0_0.25,R0_0.75,R0_0.975,R0_mean,R0_median,R0_std,duration_0.025,duration_0.25,duration_0.75,duration_0.975,duration_mean,duration_median,duration_std,employee_screen_interval,index_case,infected_employees_0.025,infected_employees_0.25,infected_employees_0.75,infected_employees_0.975,infected_employees_mean,infected_employees_median,infected_employees_std,infected_residents_0.025,infected_residents_0.25,infected_residents_0.75,infected_residents_0.975,infected_residents_mean,infected_residents_median,infected_residents_std,pending_test_infections_0.025,pending_test_infections_0.25,pending_test_infections_0.75,pending_test_infections_0.975,pending_test_infections_mean,pending_test_infections_median,pending_test_infections_std,predetected_infections_0.025,predetected_infections_0.25,predetected_infections_0.75,predetected_infections_0.975,predetected_infections_mean,predetected_infections_median,predetected_infections_std,resident_screen_interval,test_type,transmissions_0.025,transmissions_0.25,transmissions_0.75,transmissions_0.975,transmissions_mean,transmissions_median,transmissions_std,undetected_infections_0.025,undetected_infections_0.25,undetected_infections_0.75,undetected_infections_0.975,undetected_infections_mean,undetected_infections_median,undetected_infections_std
52.0,102.0,370.0,604.0,257.4858,279.0,167.09238877040002,2.0,3.0,10.0,18.0,7.3214,7.0,4.563155079375218,52.0,53.0,105.0,166.0,80.2866,70.0,36.5311663248151,2.0,3.0,10.0,18.0,7.192,7.0,4.5594752857635,1.0,1.0,3.0,5.0,1.9972440944881888,2.0,1.1429487383996269,12.0,17.0,35.0,63.0,27.8816,26.0,14.148434516225677,7.0,employee,1.0,1.0,7.0,13.0,4.582,4.0,3.4959259359738986,0.0,0.0,9.0,19.0,5.5932,5.0,5.4937721024075366,0.0,0.0,1.0,6.0,0.951,0.0,1.6526560825570216,0.0,0.0,7.0,13.0,4.1875,4.0,4.016186838989512,7.0,same_day_antigen,0.0,1.0,15.0,30.0,9.1752,8.0,8.686774485682044,0.0,0.0,1.0,5.0,0.8275,0.0,1.389293620397203
0.0,105.0,361.0,588.0249999999996,262.7545,280.0,157.4263749697096,0.0,2.0,8.0,15.0,5.8055,6.0,3.8617562152609546,35.0,35.0,70.0,124.0,57.5632,58.0,26.532436804415045,2.0,4.0,10.0,17.0,7.4853,7.0,4.31036446651364,1.0,1.0,3.0,5.0,2.17677082036599,2.0,1.2490527005654637,12.0,22.0,35.0,63.0,28.9479,27.0,13.633809946869832,,employee,1.0,2.0,7.0,13.0,4.941,4.0,3.4775463092291496,0.0,1.0,10.0,19.0,6.2606,6.0,5.4556268225019435,0.0,0.0,1.0,6.0,0.9655,0.0,1.5917170308539863,0.0,0.0,8.0,13.0,4.8049,5.0,4.145908205144507,7.0,same_day_antigen,0.0,2.0,15.0,30.0,10.2016,9.0,8.595402581296204,0.0,0.0,0.0,3.0,0.4254,0.0,0.9032809262035618
52.0,53.0,377.0,637.0,240.6776,203.0,186.23126500844762,4.0,5.0,17.0,31.0,12.0813,11.0,7.8217011072285985,53.0,71.0,129.0,193.0249999999996,103.9746,96.0,38.59782810046968,1.0,1.0,8.0,17.0,5.4176,4.0,4.72345650388933,1.0,1.0,2.0,4.0,1.7279378826340153,1.0,0.9382282374409424,12.0,12.0,35.0,65.0,26.6358,23.0,15.73017807306138,2.0,employee,1.0,1.0,7.0,14.0,4.3748,3.0,4.008781859018936,0.0,0.0,9.0,21.0,5.1972,2.0,6.3487749097196255,0.0,0.0,1.0,8.0,1.0693,0.0,2.145869983432962,0.0,0.0,5.0,12.0,2.9546,1.0,3.6945776254374514,,same_day_antigen,0.0,0.0,14.0,34.0,8.572000000000001,4.0,10.137341494161914,0.0,0.0,2.0,5.0,1.175,1.0,1.4009180051400985
52.0,53.0,350.0,592.0249999999996,234.644,244.0,168.29290452711138,3.0,4.0,14.0,25.0,9.9242,9.0,6.277355723510334,35.0,53.0,95.0,147.0,76.6646,71.0,30.244516526438176,1.0,1.0,8.0,15.0,5.1521,5.0,4.096735763311009,1.0,1.0,2.0,4.0,1.81831106056298,2.0,0.9880417904889054,12.0,12.0,34.0,60.0,25.8522,24.0,13.833585651203993,3.0,employee,1.0,1.0,7.0,12.0,4.1731,3.0,3.513057151122752,0.0,0.0,8.0,18.0,4.8972,3.0,5.494037732402329,0.0,0.0,1.0,5.0,0.6809999999999999,0.0,1.4186050345407641,0.0,0.0,6.0,13.0,3.5033,2.0,4.0415124015953765,,same_day_antigen,0.0,0.0,14.0,28.0,8.0703,5.0,8.746176734479308,0.0,0.0,1.0,2.0,0.4454,0.0,0.7502500433273905
52.0,102.0,354.0,589.0,252.9093,277.0,161.00634204194498,2.0,3.0,10.0,17.0,7.2134,7.0,4.3814815049270495,17.0,18.0,36.0,54.0,28.3591,18.0,12.336286539577406,1.0,2.0,8.0,15.0,5.5796,6.0,3.94953462098666,1.0,1.0,3.0,5.0,2.0097355611103804,2.0,1.1682915759255743,12.0,17.0,35.0,62.0,27.6244,26.0,13.748557266953222,7.0,employee,1.0,1.0,7.0,13.0,4.7098,4.0,3.582243320423764,0.0,0.0,9.0,19.0,5.8073,5.0,5.658760364857898,0.0,0.0,1.0,5.0,0.9223,0.0,1.5809214532240767,0.0,0.0,8.0,14.0,4.5224,4.0,4.267636290963792,,same_day_antigen,0.0,1.0,15.0,30.024999999999643,9.5171,8.0,8.93481341042262,0.0,0.0,1.0,2.0,0.4166,0.0,0.7256011919153459
0.0,105.0,344.0,569.0249999999996,257.6482,276.0,150.04551843530768,0.0,2.0,8.0,14.0,5.7016,6.0,3.668883142095293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,14.0,5.7016,6.0,3.668883142095293,1.0,1.0,3.0,5.0,2.184894861266642,2.0,1.2632200983769517,12.0,22.0,35.0,61.024999999999636,28.7583,28.0,13.257935676259693,,employee,1.0,2.0,7.0,13.0,5.15,5.0,3.55330305437907,0.0,1.0,10.0,20.0,6.5706,6.0,5.64116990701326,0.0,0.0,1.0,5.0,0.9428,0.0,1.490822060153895,0.0,0.0,8.0,15.0,5.2517,5.0,4.420056651229711,,same_day_antigen,0.0,2.0,16.0,30.0,10.7206,10.0,8.859039671340785,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.0,103.0,378.0,626.0,252.8708,204.0,172.14765577520618,4.0,7.0,16.0,30.0,12.2735,11.0,7.229974066516439,176.0,244.0,398.0,603.0,328.9256,307.0,117.7249496963923,4.0,7.0,17.0,30.0,12.4774,11.0,7.176742980209086,1.0,1.0,3.0,5.0,2.1660830415207606,2.0,1.2553545961535553,12.0,17.0,35.0,63.0,27.5924,24.0,14.415888596420356,2.0,resident,0.0,0.0,5.0,12.0,3.32,2.0,3.594731173428817,1.0,1.0,8.0,19.0,5.5619,4.0,5.240316257769959,0.0,0.0,1.0,8.0,1.0564,0.0,2.2927591924298216,0.0,0.0,3.0,9.0,1.8309,0.0,2.7147821633087657,2.0,same_day_antigen,0.0,1.0,12.0,30.0,7.8819,5.0,8.56721028685592,0.0,1.0,5.0,12.0,3.1,2.0,3.392337069791195
52.0,103.0,440.0,690.0249999999997,281.3197,246.0,199.3588665890704,3.0,5.0,15.0,26.0,10.7113,9.0,6.669692705820787,140.0,221.0,359.0,529.0249999999996,294.3829,276.0,101.39136900427401,4.0,7.0,19.0,33.0,13.6547,11.0,8.369663854498802,1.0,1.0,3.0,5.0,2.1875,2.0,1.2409413797095656,12.0,17.0,40.0,68.0,29.695999999999998,24.0,16.349186939764287,3.0,resident,0.0,0.0,7.0,14.0,3.9178,2.0,4.239674591765788,1.0,1.0,10.0,22.0,6.5298,4.0,6.399516180207225,0.0,0.0,2.0,9.0,1.401,0.0,2.694276324449897,0.0,0.0,2.0,8.0,1.3842,0.0,2.342635087655649,2.0,same_day_antigen,0.0,1.0,16.0,34.0,9.4476,5.0,10.397069978913033,0.0,1.0,4.0,11.0,2.5611,1.0,2.9700419028846192
52.0,104.0,417.0,671.0249999999996,278.8321,250.0,187.0096804222904,2.0,3.0,11.0,19.0,7.4314,6.0,5.009830723725906,122.0,185.0,295.0,449.0,244.8493,222.0,86.22890543154999,4.0,7.0,18.0,32.0,13.4077,12.0,7.8768575712983315,1.0,1.0,3.0,5.0,2.2002238527546325,2.0,1.2787801049628846,12.0,17.0,39.0,68.0,29.2501,25.0,15.787687452489983,7.0,resident,0.0,0.0,6.0,13.0,3.8021,3.0,3.950708341505352,1.0,2.0,9.0,22.0,6.4458,4.0,5.937793201081518,0.0,0.0,1.0,9.0,1.266,0.0,2.4091542919539717,0.0,0.0,4.0,10.0,2.4666,1.0,3.0264831735927435,2.0,same_day_antigen,0.0,1.0,14.25,33.0,9.2479,6.0,9.62613691161642,0.0,0.0,3.0,8.0,2.0162,1.0,2.2074475854443856
52.0,104.0,412.0,672.0249999999996,276.226,250.0,185.46323620922425,1.0,2.0,9.0,17.0,6.202000000000001,5.0,4.7589348331401435,104.0,167.0,274.0,430.0,226.7279,205.0,85.68507253165791,4.0,7.0,18.0,32.0,13.3815,12.0,7.826051524124143,1.0,1.0,3.0,5.0,2.1998246053620645,2.0,1.242356899056968,12.0,17.0,38.0,68.0,29.1332,25.0,15.626371175279653,,resident,0.0,0.0,6.0,13.0,3.8113,3.0,3.9084805144701944,1.0,2.0,9.0,21.0,6.4262,4.0,5.865014356277395,0.0,0.0,1.0,8.0,1.1356,0.0,2.224569061807494,0.0,0.0,4.0,10.0,2.5063,1.0,3.0360965232037374,2.0,same_day_antigen,0.0,1.0,15.0,33.0,9.2375,6.0,9.507646043229014,0.0,0.0,3.0,8.0,1.9327,1.0,2.174912350963468
52.0,104.0,432.25,683.0249999999996,280.8955,245.0,192.33592823671574,4.0,7.0,19.0,32.0,13.4638,11.0,8.137598639104851,124.0,206.0,313.0,472.0,262.1906,242.0,89.15867651888884,3.0,6.0,16.0,27.0,11.2298,9.0,6.829879697744943,1.0,1.0,3.0,6.0,2.3741717865317438,2.0,1.400164466717866,12.0,17.0,40.0,67.0,29.904,24.0,16.118106692050823,2.0,resident,0.0,0.0,7.0,14.0,4.0394,2.0,4.2802663127392915,1.0,2.0,11.0,23.0,6.7394,4.0,6.487842233723394,0.0,0.0,2.0,9.0,1.3366,0.0,2.5547119397907725,0.0,0.0,3.0,8.0,1.6264,0.0,2.4773447002135907,3.0,same_day_antigen,0.0,1.0,16.0,35.0,9.7788,5.0,10.51832372925493,0.0,0.0,3.0,9.0,2.1938,1.0,2.592163862750412
52.0,103.0,277.0,436.0249999999997,196.1772,195.0,111.34650602780701,3.0,6.0,14.0,22.0,10.0683,8.0,5.627361889036728,106.0,191.0,363.0,519.0,280.7688,259.0,114.4519421908913,3.0,6.0,14.0,22.0,10.258,9.0,5.586336609592333,1.0,1.0,3.0,6.0,2.330405486704368,2.0,1.3501663013632506,12.0,17.0,38.0,58.0,28.0836,23.0,13.807703513170853,3.0,resident,0.0,0.0,5.0,12.0,3.3160000000000003,2.0,3.5707728913925894,1.0,1.0,8.0,19.0,5.5617,3.0,5.259026416161512,0.0,0.0,0.0,2.0,0.1006,0.0,0.5932240988725495,0.0,0.0,0.0,5.0,0.4462,0.0,1.284395004292957,3.0,same_day_antigen,0.0,1.0,12.0,29.0,7.8777,4.0,8.560167659399886,0.0,0.0,0.0,1.0,0.3006,0.0,0.6719261778490611
52.0,104.0,372.0,613.0499999999993,258.8863,247.0,163.58578790136488,2.0,3.0,9.0,17.0,6.8711,6.0,4.253597782984416,88.0,150.0,231.0,373.0,190.5055,175.0,73.48480639851441,3.0,6.0,14.0,27.0,10.9664,10.0,6.397277823915077,1.0,1.0,3.0,6.0,2.3514264990328817,2.0,1.3740343513389108,12.0,18.0,35.0,64.0,28.0505,24.0,14.221447700830979,7.0,resident,0.0,0.0,6.0,11.0,3.5374,3.0,3.43315888038841,1.0,2.0,9.0,18.0,5.9635,4.0,4.999146616842687,0.0,0.0,0.0,4.0,0.523,0.0,1.2612018327794725,0.0,0.0,5.0,10.0,2.8777,2.0,3.145748286692424,3.0,same_day_antigen,0.0,1.0,14.0,28.0,8.5009,6.0,8.130597139877558,0.0,0.0,1.0,4.0,0.6051,0.0,1.1209280253271376
52.0,104.0,372.0,602.0,258.5211,249.0,161.53307044712182,1.0,2.0,8.0,15.0,5.6733,5.0,3.9799687341878087,70.0,132.0,202.0,341.0,169.7095,159.0,68.38986348204469,3.0,6.0,14.0,26.0,10.9519,10.0,6.274816628585431,1.0,1.0,3.0,6.0,2.3464986673128183,2.0,1.3789459890257152,12.0,18.0,35.0,64.0,28.1588,25.0,14.157196939455151,,resident,0.0,0.0,6.0,11.0,3.5766,3.0,3.426675743437809,1.0,2.0,9.0,18.0,6.0004,5.0,4.964742159112661,0.0,0.0,0.0,4.0,0.4732,0.0,1.139039727643472,0.0,0.0,5.0,10.0,2.9682,2.0,3.209177253107748,3.0,same_day_antigen,0.0,1.0,14.0,27.0,8.577,7.0,8.070699140623558,0.0,0.0,1.0,3.0,0.4553,0.0,0.7950252301101212
52.0,154.0,418.25,646.0,298.3037,292.0,170.47882968112768,4.0,9.0,18.0,31.0,14.0364,13.0,7.2604232944533935,89.0,131.0,189.0,277.0,163.8077,158.0,47.55837361180532,2.0,5.0,11.0,19.0,8.3387,8.0,4.760488266433757,1.0,1.0,4.0,7.0,2.8599359707294765,2.0,1.8039858532526492,12.0,20.0,39.0,66.0,30.5879,28.0,14.47904133061942,2.0,resident,0.0,1.0,8.0,14.0,4.9131,4.0,4.199489488163547,1.0,2.0,12.0,22.0,7.6948,6.0,6.196086838417528,0.0,0.0,2.0,9.0,1.6245,0.0,2.490285104559355,0.0,0.0,7.0,12.0,3.9599,3.0,3.785885006511457,7.0,same_day_antigen,0.0,3.0,18.0,35.0,11.6079,9.0,10.078408357548437,0.0,0.0,3.0,6.0,1.6731,1.0,1.8271754833689902
52.0,153.0,380.0,617.0,280.7376,287.0,156.76705628809177,3.0,7.0,15.0,26.0,11.4121,11.0,6.066329501878589,71.0,104.0,157.0,237.0,133.6794,124.0,43.17527795049628,2.0,4.75,10.0,18.0,7.7549,7.0,4.229327926688962,1.0,1.0,4.0,7.0,2.8460921384368554,2.0,1.7907211251535344,12.0,19.0,35.0,62.0,28.9332,26.0,13.079435955900102,3.0,resident,0.0,1.0,7.0,13.0,4.4853,4.0,3.6702766929892783,1.0,2.0,10.0,19.0,6.9881,6.0,5.251296601945102,0.0,0.0,1.0,6.0,0.9716,0.0,1.7201422409012843,0.0,0.0,7.0,13.0,4.4198,4.0,3.910894714735616,7.0,same_day_antigen,0.0,3.0,16.0,30.0,10.4734,10.0,8.564030984452957,0.0,0.0,1.0,4.0,0.7707,0.0,1.3195816153478177
52.0,192.0,373.0,597.0,283.1991,288.0,148.36976315223998,2.0,5.0,10.0,18.0,7.7939,7.0,4.154653885089647,52.0,53.0,105.0,163.0,82.3342,87.0,34.893028855435716,2.0,5.0,10.0,18.0,7.9393,8.0,4.145423255036372,1.0,1.0,4.0,7.0,2.833371324367449,2.0,1.7830077060066658,12.0,22.0,35.0,61.024999999999636,29.0947,26.0,12.806027149086257,7.0,resident,0.0,2.0,7.0,12.0,4.5624,4.0,3.5775391148961413,1.0,3.0,10.0,19.0,7.2121,6.0,5.192688127646325,0.0,0.0,2.0,6.0,1.0928,0.0,1.7017278712458046,0.0,2.0,8.0,13.0,5.1119,5.0,4.005568979344236,7.0,same_day_antigen,0.0,4.0,16.0,30.0,10.7745,10.0,8.401327751064,0.0,0.0,1.0,5.0,0.8587,0.0,1.3839529770134025
52.0,197.0,368.0,593.0,281.8761,287.0,145.8851027182334,1.0,4.0,8.0,15.0,6.2472,6.0,3.66112449163564,34.0,35.0,70.0,105.0,55.8076,35.0,24.355724221838226,2.0,5.0,10.0,17.0,7.885,8.0,4.05203861058729,1.0,1.0,4.0,7.0,2.830337721808815,2.0,1.7553138435129996,12.0,23.0,35.0,60.0,28.9416,26.0,12.62426737092752,,resident,0.0,2.0,7.0,12.0,4.5766,4.0,3.5907411187912475,1.0,3.0,10.0,19.0,7.2673,7.0,5.16812554628525,0.0,0.0,2.0,6.0,1.0285,0.0,1.6374235449591403,0.0,2.0,8.0,14.0,5.21,5.0,4.035285411570697,7.0,same_day_antigen,0.0,4.0,16.0,30.0,10.8439,10.0,8.39574783138255,0.0,0.0,1.0,3.0,0.5854,0.0,0.9684010636415092
